Variables,Values,Ambient,Diffuse,Offshore,Transition
Silicate,3.25,NA,3.25,NA,NA
Silicate,3.26,NA,3.26,NA,NA
Silicate,3.35,NA,3.35,NA,NA
Silicate,3.41,NA,3.41,NA,NA
Silicate,3.46,NA,3.46,NA,NA
Silicate,3.53,NA,3.53,NA,NA
Silicate,3.55,NA,3.55,NA,NA
Silicate,3.56,NA,3.56,NA,NA
Silicate,3.61,NA,3.61,NA,NA
Silicate,3.72,NA,3.72,NA,NA
Silicate,3.76,NA,3.76,NA,NA
Silicate,3.83,NA,3.83,NA,NA
Silicate,3.95,NA,3.95,NA,NA
Silicate,3.99,NA,3.99,NA,NA
Silicate,4.04,NA,4.04,NA,NA
Silicate,4.05,NA,4.05,NA,NA
Silicate,4.18,NA,4.18,NA,NA
Silicate,4.23,NA,4.23,NA,NA
Silicate,4.46,NA,4.46,NA,NA
Silicate,4.48,NA,4.48,NA,NA
Silicate,4.67,NA,4.67,NA,NA
Silicate,5.04,NA,5.04,NA,NA
Silicate,5.21,NA,5.21,NA,NA
Silicate,5.29,NA,5.29,NA,NA
Silicate,5.43,NA,5.43,NA,NA
Silicate,5.54,NA,5.54,NA,NA
Silicate,5.78,NA,5.78,NA,NA
Silicate,6.58,NA,6.58,NA,NA
Silicate,6.85,NA,6.85,NA,NA
Silicate,7.5,NA,7.5,NA,NA
Silicate,7.59,NA,7.59,NA,NA
Silicate,7.68,NA,7.68,NA,NA
Silicate,10.51,NA,10.51,NA,NA
Silicate,10.78,NA,10.78,NA,NA
Silicate,15.04,NA,15.04,NA,NA
Silicate,15.37,NA,15.37,NA,NA
Silicate,17.53,NA,17.53,NA,NA
Silicate,23.1,NA,23.1,NA,NA
Silicate,23.68,NA,23.68,NA,NA
Silicate,44.66,NA,44.66,NA,NA
Silicate,45.88,NA,45.88,NA,NA
Silicate,51.67,NA,51.67,NA,NA
Silicate,52.81,NA,52.81,NA,NA
Silicate,56.31,NA,56.31,NA,NA
Silicate,58.51,NA,58.51,NA,NA
Silicate,126.47,NA,126.47,NA,NA
Silicate,151.37,NA,151.37,NA,NA
TA,2129.366609,NA,2129.366609,NA,NA
TA,2151.825559,NA,2151.825559,NA,NA
TA,2189.458388,NA,2189.458388,NA,NA
TA,2206.974224,NA,2206.974224,NA,NA
TA,2207.789729,NA,2207.789729,NA,NA
TA,2212.273427,NA,2212.273427,NA,NA
TA,2212.963581,NA,2212.963581,NA,NA
TA,2213.643995,NA,2213.643995,NA,NA
TA,2216.7581,NA,2216.7581,NA,NA
TA,2219.513637,NA,2219.513637,NA,NA
TA,2220.335875,NA,2220.335875,NA,NA
TA,2227.731898,NA,2227.731898,NA,NA
TA,2227.978151,NA,2227.978151,NA,NA
TA,2231.540629,NA,2231.540629,NA,NA
TA,2231.928785,NA,2231.928785,NA,NA
TA,2234.152534,NA,2234.152534,NA,NA
TA,2234.700866,NA,2234.700866,NA,NA
TA,2237.131953,NA,2237.131953,NA,NA
TA,2237.72937,NA,2237.72937,NA,NA
TA,2238.532837,NA,2238.532837,NA,NA
TA,2239.283896,NA,2239.283896,NA,NA
TA,2240.714341,NA,2240.714341,NA,NA
TA,2240.889093,NA,2240.889093,NA,NA
TA,2241.211157,NA,2241.211157,NA,NA
TA,2242.012856,NA,2242.012856,NA,NA
TA,2244.687113,NA,2244.687113,NA,NA
TA,2245.596857,NA,2245.596857,NA,NA
TA,2245.851148,NA,2245.851148,NA,NA
TA,2247.179605,NA,2247.179605,NA,NA
TA,2249.646663,NA,2249.646663,NA,NA
TA,2250.3368,NA,2250.3368,NA,NA
TA,2251.264292,NA,2251.264292,NA,NA
